DateTime,hostname,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,kbhugfree,kbhugused,%hugused,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,TTY,rcvin/s,xmtin/s,framerr/s,prtyerr/s,brk/s,ovrun/s,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,rxerr/s,txerr/s,coll/s,rxdrop/s,txdrop/s,txcarr/s,rxfram/s,rxfifo/s,txfifo/s,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,kbavail,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,%ifutil,txmtin/s,rkB/s,wkB/s,areq-sz,aqu-sz
2024-01-01 00:00:00,ceph-03,all,9.96,0.00,4.04,3.22,0.02,0.00,1.29,0.00,0.00,81.47,40.22,7334.21,0.00,0.01,838.87,2315.09,361.96,0.00,0.00,35.00,0.00,0.00,87.95,250.08,225.28,235.29,28368.57,69508.53,-2.31,1.02,1.04,185794798,76349202,29.12,3738966,40002078,183500800,70.00,91750400,39321600,4073117,129761280,1310720,1.00,0,0.00,0,0,0.00,37153,4155,58814,19,2,730,2.88,3.02,2.21,0,0,0.00,0.00,0.00,0.00,0.00,0.00,39122.87,95112.18,63.50,0.84,9.30,0.05,20.54,13880.38,7030.13,6978.12,19383.31,0.00,0.00,7.97,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225796876,55050240,7864320,262144,524288,77659922,412,386,20,0,0,24,0.00,0.00,0.00,0.00,0.00,11.26,0.00,19561.44,47556.09,31.75,0.84
2024-01-01 00:05:00,ceph-03,all,12.05,0.00,4.84,0.19,0.03,0.00,1.58,0.00,0.00,81.30,39.47,6862.49,0.17,0.00,2104.91,1886.51,267.97,0.89,0.00,0.00,0.00,43.08,89.99,315.30,168.14,247.22,42484.67,120747.34,-6.57,1.07,-0.37,175345825,86798175,33.11,3129677,52903887,183500800,70.00,91750400,39321600,7084078,129761280,1310720,1.00,0,0.00,0,0,0.00,55650,5262,57777,24,4,705,0.62,2.06,3.08,1,0,0.00,0.00,0.00,0.00,0.00,0.00,52395.80,109227.21,41.15,0.28,9.67,0.19,26.16,8563.77,5584.45,2215.14,28253.36,0.00,0.00,2.95,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228249712,55050240,7864320,262144,524288,88108895,629,451,14,0,0,85,0.00,0.00,0.00,0.00,0.00,8.75,0.00,26197.90,54613.61,20.57,0.28
2024-01-01 00:10:00,ceph-03,all,11.78,0.00,3.77,0.32,0.00,0.00,1.80,0.00,0.00,82.33,45.43,6498.68,0.38,0.59,401.31,605.06,467.84,0.08,0.00,0.00,0.00,73.25,95.66,428.11,105.35,127.40,39591.08,137865.18,0.82,3.55,3.79,178800996,83343004,31.79,4234991,39942297,183500800,70.00,91750400,39321600,9478561,129761280,1310720,1.00,0,0.00,0,0,0.00,51132,5378,58857,13,3,664,2.27,2.82,3.62,1,0,0.00,0.00,0.00,0.00,0.00,0.00,49416.88,16891.10,53.51,0.79,16.16,0.21,47.48,12758.67,5309.60,6675.08,31664.84,0.00,0.00,5.27,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218743293,55050240,7864320,262144,524288,84653724,510,368,23,0,0,72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24708.44,8445.55,26.75,0.79
2024-01-01 00:15:00,ceph-03,all,10.66,0.00,3.34,0.35,0.00,0.00,1.54,0.00,0.00,84.10,37.85,7464.66,0.56,0.36,243.37,85.36,507.54,0.65,0.00,0.00,0.00,0.00,89.97,282.66,58.45,297.74,61370.22,137061.72,6.95,-0.22,3.93,176711529,85432471,32.59,5215463,32613021,183500800,70.00,91750400,39321600,7714686,129761280,1310720,1.00,0,0.00,0,0,0.00,44535,4760,63526,12,4,741,3.87,3.92,4.20,1,0,0.00,0.00,0.00,0.00,0.00,0.00,70945.17,19737.51,58.29,0.91,17.46,0.36,48.85,18409.07,5138.52,8440.45,26241.61,0.00,0.00,8.09,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209324550,55050240,7864320,262144,524288,86743191,543,437,28,0,0,37,0.00,0.00,0.00,0.00,0.00,3.82,0.00,35472.59,9868.75,29.14,0.91
2024-01-01 00:20:00,ceph-03,all,9.92,0.00,6.57,4.44,0.00,0.00,1.29,0.00,0.00,77.78,26.18,5370.75,1.03,0.09,849.18,0.00,614.87,0.25,0.00,0.00,4.21,77.67,92.74,91.24,0.00,304.03,62957.85,130485.39,-3.93,-0.81,-4.22,188100737,74043263,28.25,4163066,24593712,183500800,70.00,91750400,39321600,2390546,129761280,1310720,1.00,0,0.00,0,0,0.00,49673,4823,62230,19,4,654,4.10,3.86,2.91,1,0,0.00,0.00,0.00,0.00,0.00,0.00,48988.21,33197.67,75.92,0.84,16.29,0.09,35.49,14569.73,6430.27,13951.50,30919.91,0.00,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,212694449,55050240,7864320,262144,524288,75353983,426,415,20,0,0,63,0.00,0.00,0.00,0.00,0.00,4.62,0.00,24494.11,16598.84,37.96,0.84
2024-01-01 00:25:00,ceph-03,all,11.05,0.00,5.62,3.22,0.16,0.00,1.11,0.00,0.00,78.85,17.37,5180.20,0.48,0.00,974.86,3762.72,603.95,1.68,0.00,0.00,5.11,0.00,87.69,469.92,60.40,316.20,63256.27,62609.04,8.65,3.78,1.08,170497013,91646987,34.96,3859545,29488056,183500800,70.00,91750400,39321600,1190482,129761280,1310720,1.00,0,0.00,0,0,0.00,57580,6021,54226,22,4,678,1.40,1.82,1.35,1,0,0.00,0.00,0.00,0.00,0.00,0.00,46730.13,36464.40,67.55,0.60,13.99,0.39,22.86,10662.99,10245.48,9576.51,23756.92,0.00,0.00,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199985069,55050240,7864320,262144,524288,92957707,482,397,25,0,0,20,0.00,0.00,0.00,0.00,0.00,0.98,0.00,23365.06,18232.20,33.78,0.60
2024-01-01 00:30:00,ceph-03,all,10.17,0.01,5.61,1.47,0.26,0.00,1.14,0.00,0.00,81.34,16.40,7257.51,0.14,0.00,1755.03,1630.46,358.10,1.91,0.00,0.00,7.39,0.00,87.82,334.22,54.21,164.67,59412.64,42642.32,2.58,3.73,0.94,179059828,83084172,31.69,5937743,28453296,183500800,70.00,91750400,39321600,2377452,129761280,1310720,1.00,0,0.00,0,0,0.00,55000,5002,60922,28,2,693,0.89,1.83,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,25634.52,10219.71,64.63,1.30,17.13,0.26,30.88,4827.12,5605.48,9740.22,21272.18,0.00,0.00,3.80,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207513124,55050240,7864320,262144,524288,84394892,494,426,24,0,0,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12817.26,5109.86,32.32,1.30
2024-01-01 00:35:00,ceph-03,all,9.15,0.01,3.88,4.08,0.18,0.00,0.98,0.00,0.00,81.73,38.48,5069.50,0.12,0.00,1524.43,1351.48,207.99,0.00,0.00,134.50,0.00,21.61,86.53,560.77,172.75,86.47,48997.01,26955.16,-1.89,3.39,4.69,182637990,79506010,30.33,1718844,37172089,183500800,70.00,91750400,39321600,5690120,129761280,1310720,1.00,0,0.00,0,0,0.00,55010,4162,60162,17,2,733,1.31,2.37,1.04,0,0,0.00,0.00,0.00,0.00,0.00,0.00,34451.54,11112.90,44.25,2.17,10.90,0.22,15.77,7491.14,19995.65,13395.78,18895.88,0.00,0.00,5.75,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219810079,55050240,7864320,262144,524288,80816730,522,346,24,0,0,23,0.00,0.00,0.00,0.00,0.00,5.30,0.00,17225.77,5556.45,22.12,2.17
2024-01-01 00:40:00,ceph-03,all,5.29,0.00,4.42,4.84,0.08,0.00,0.87,0.00,0.00,84.49,47.56,3541.73,0.00,0.14,1560.39,1065.63,272.99,2.07,0.00,36.61,0.00,0.00,89.61,251.41,242.38,103.31,23078.47,62984.94,-5.99,1.88,1.06,180790959,81353041,31.03,1768919,40224447,183500800,70.00,91750400,39321600,4429378,129761280,1310720,1.00,0,0.00,0,0,0.00,49917,4802,60164,13,4,650,0.00,2.24,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,31433.55,45079.11,68.40,2.17,14.51,0.18,23.11,10208.88,14468.34,9640.22,20634.33,0.00,0.00,7.14,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221015406,55050240,7864320,262144,524288,82663761,467,431,21,0,0,69,0.00,0.00,0.00,0.00,0.00,12.91,0.00,15716.78,22539.56,34.20,2.17
2024-01-01 00:45:00,ceph-03,all,6.01,0.00,2.72,3.34,0.13,0.00,1.55,0.00,0.00,86.27,53.24,2700.54,0.00,0.24,1714.96,2902.72,170.08,0.00,0.00,80.46,9.48,0.00,89.73,212.53,293.49,162.44,3198.56,76591.85,1.82,-3.68,2.56,180536274,81607726,31.13,2955620,33231447,183500800,70.00,91750400,39321600,4190840,129761280,1310720,1.00,0,0.00,0,0,0.00,51969,5823,57993,23,5,773,0.13,3.37,2.23,1,0,0.00,0.00,0.00,0.00,0.00,0.00,44472.10,48661.96,37.09,1.21,13.79,0.33,25.25,8600.55,12234.29,10242.04,15541.07,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213767721,55050240,7864320,262144,524288,82918446,634,420,29,0,0,34,0.00,0.00,0.00,0.00,0.00,20.61,0.00,22236.05,24330.98,18.55,1.21
