DateTime,hostname,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,kbhugfree,kbhugused,%hugused,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,TTY,rcvin/s,xmtin/s,framerr/s,prtyerr/s,brk/s,ovrun/s,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,rxerr/s,txerr/s,coll/s,rxdrop/s,txdrop/s,txcarr/s,rxfram/s,rxfifo/s,txfifo/s,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,kbavail,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,%ifutil,txmtin/s,rkB/s,wkB/s,areq-sz,aqu-sz
2024-01-01 00:00:00,compute-02,all,13.24,0.04,0.84,1.06,0.09,0.04,0.09,2.72,0.00,81.89,36.32,1987.99,0.24,0.00,85.00,51.45,925.08,0.00,1066.12,49.94,0.00,0.00,31.84,72.37,41.22,27.78,1457.19,3779.73,-4.21,-0.53,0.75,111090020,19981980,15.25,1283559,5475923,37451489,28.57,15114046,6778201,475541,65407033,128967,0.20,0,0.00,0,0,0.00,48977,5639,61206,23,2,721,2.77,2.04,1.68,1,0,0.00,0.00,0.00,0.00,0.00,0.00,4169.99,3650.86,13.34,0.13,0.78,0.01,4.38,2829.31,4108.73,260.70,492.38,0.00,0.00,0.66,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116565943,9068428,3932160,131072,262144,20110947,505,406,19,0,0,84,0.00,0.00,0.00,0.00,0.00,5.66,0.00,2084.99,1825.43,6.67,0.13
2024-01-01 00:05:00,compute-02,all,14.12,0.00,0.09,1.03,0.63,0.04,0.21,3.77,0.00,80.12,29.63,2399.50,0.08,0.01,65.22,38.41,856.35,0.00,2028.63,2.91,0.00,0.00,34.80,31.76,50.80,13.34,1635.71,3359.30,-1.76,0.98,0.90,108370446,22701554,17.32,785714,5354113,39994194,30.51,15129637,7587223,573401,64994934,541066,0.83,0,0.00,0,0,0.00,48658,4670,56402,17,3,747,2.67,1.28,1.01,1,0,0.00,0.00,0.00,0.00,0.00,0.00,4470.69,6905.69,13.97,0.00,1.39,0.10,6.72,2921.41,3456.30,256.24,743.03,0.00,0.00,9.00,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113724559,9077782,3932160,131072,262144,23242620,549,388,10,0,0,41,0.00,0.00,0.00,0.00,0.00,3.27,0.00,2235.34,3452.84,6.98,0.00
2024-01-01 00:10:00,compute-02,all,15.27,0.01,1.00,1.71,1.15,0.03,0.06,2.65,0.00,78.13,14.08,2277.28,0.00,0.00,109.21,98.19,924.97,0.00,1612.58,0.00,1.10,0.00,27.67,33.71,18.07,24.09,720.21,2201.30,2.56,1.56,0.92,107906624,23165376,17.67,641150,6897097,32611828,24.88,21001950,8374410,319309,64900267,635733,0.97,0,0.00,0,0,0.00,48510,5049,60772,17,1,682,1.33,0.00,0.51,1,0,0.00,0.00,0.00,0.00,0.00,0.00,3981.61,4584.85,3.63,0.00,1.97,0.15,5.23,3023.65,3830.54,192.21,432.14,0.00,0.00,5.94,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114803721,12601170,3932160,131072,262144,23801109,406,444,18,0,0,11,0.00,0.00,0.00,0.00,0.00,2.05,0.00,1990.80,2292.42,1.82,0.00
2024-01-01 00:15:00,compute-02,all,10.62,0.06,1.11,2.41,1.13,0.03,0.09,3.27,0.00,81.28,11.85,1476.45,0.00,0.16,103.77,55.51,890.68,0.00,896.67,0.00,0.00,0.00,32.29,31.03,51.30,14.73,2013.82,4041.33,2.66,1.89,0.44,108705878,22366122,17.06,707441,6721343,38827334,29.62,16378804,9274421,351270,65348759,187241,0.29,0,0.00,0,0,0.00,55164,4351,56822,18,5,682,1.24,0.72,0.74,0,0,0.00,0.00,0.00,0.00,0.00,0.00,4598.44,2855.41,1.00,0.00,1.97,0.15,15.40,1163.59,2376.61,250.60,489.88,0.00,0.00,9.35,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115427221,9827282,3932160,131072,262144,22553363,547,400,22,0,0,78,0.00,0.00,0.00,0.00,0.00,4.43,0.00,2299.22,1427.70,0.50,0.00
2024-01-01 00:20:00,compute-02,all,10.83,0.03,0.09,3.19,0.11,0.06,0.27,1.92,0.00,83.50,13.73,883.17,0.00,0.18,120.06,21.12,899.81,0.11,1007.40,0.00,0.00,0.00,34.70,70.35,44.70,1.43,1367.30,1709.90,-1.05,0.90,1.85,104947603,26124397,19.93,981591,6045637,41704819,31.82,13795194,9586620,360816,64862913,673087,1.03,0,0.00,0,0,0.00,49312,5472,57861,24,4,775,1.45,0.00,0.91,0,0,0.00,0.00,0.00,0.00,0.00,0.00,3201.05,3328.06,8.37,0.01,1.92,0.22,18.71,809.97,3154.68,251.15,264.60,0.00,0.00,8.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110993240,8277116,3932160,131072,262144,26797484,614,374,21,0,0,50,0.00,0.00,0.00,0.00,0.00,4.84,0.00,1600.52,1664.03,4.18,0.01
2024-01-01 00:25:00,compute-02,all,9.88,0.06,0.46,3.32,0.00,0.04,0.44,3.14,0.01,82.67,21.22,867.83,0.09,0.00,147.57,0.00,676.84,0.21,689.24,3.60,0.00,0.00,36.29,86.87,35.06,17.29,0.00,2694.54,-2.86,2.21,1.56,109762124,21309876,16.26,1228186,7695610,35433371,27.03,17224575,5812765,557018,65229390,306610,0.47,0,0.00,0,0,0.00,53383,4648,54984,14,3,678,1.58,0.23,2.08,1,0,0.00,0.00,0.00,0.00,0.00,0.00,2586.30,4733.91,15.48,0.11,1.44,0.24,20.96,1472.83,5782.31,128.23,553.84,0.00,0.00,6.03,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117457734,10334745,3932160,131072,262144,21616486,454,388,17,0,0,41,0.00,0.00,0.00,0.00,0.00,5.78,0.00,1293.15,2366.96,7.74,0.11
2024-01-01 00:30:00,compute-02,all,12.47,0.07,0.83,2.95,0.05,0.02,0.54,3.78,0.00,79.28,37.58,1342.16,0.07,0.29,135.03,0.00,729.61,0.54,980.46,12.96,2.12,4.04,33.70,87.45,34.14,21.26,62.13,5369.96,-1.08,0.27,-1.05,110942055,20129945,15.36,477241,5367942,32653104,24.91,17209435,7712786,660224,64413042,1122958,1.71,0,0.00,0,0,0.00,46304,4333,64267,7,2,599,2.08,0.00,2.55,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1161.74,5167.07,20.05,0.12,2.45,0.26,18.66,2270.44,4012.71,59.39,605.36,0.00,0.00,8.63,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116309997,10325661,3932160,131072,262144,21252903,516,420,22,0,0,50,0.00,0.00,0.00,0.00,0.00,5.46,0.00,580.87,2583.53,10.03,0.12
2024-01-01 00:35:00,compute-02,all,14.47,0.08,0.96,1.63,0.33,0.02,0.59,3.95,0.00,77.97,34.21,2181.73,0.53,0.00,179.07,0.00,445.25,0.21,801.43,12.75,0.21,0.00,32.51,62.06,34.68,4.13,899.38,3428.97,1.12,-0.74,-1.99,111895016,19176984,14.63,938508,5168826,32891461,25.09,15446785,4870283,531636,64906395,629605,0.96,0,0.00,0,0,0.00,52546,4392,63469,23,5,757,1.15,0.00,2.25,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1819.40,5061.96,12.11,0.12,0.85,0.40,17.02,1576.43,2446.88,136.74,485.90,0.00,0.00,4.44,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117063842,9268071,3932160,131072,262144,19806589,521,374,28,0,0,32,0.00,0.00,0.00,0.00,0.00,2.56,0.00,909.70,2530.98,6.05,0.12
2024-01-01 00:40:00,compute-02,all,16.02,0.08,1.91,1.43,0.42,0.04,0.25,3.48,0.00,76.37,20.18,2113.05,0.00,0.08,90.38,0.00,934.52,0.41,1406.44,40.80,0.00,0.00,33.77,83.38,38.56,10.08,0.00,1552.10,4.76,-1.02,-1.84,104790057,26281943,20.05,313314,7178735,33806180,25.79,15449029,5822061,567124,64405816,1130184,1.72,0,0.00,0,0,0.00,58891,5337,56672,26,1,729,0.04,0.00,1.73,1,0,0.00,0.00,0.00,0.00,0.00,0.00,2704.67,5550.35,19.85,0.23,0.47,0.49,14.02,1912.56,3299.99,312.04,253.44,0.00,0.00,0.18,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111968792,9269418,3932160,131072,262144,27412127,498,396,19,0,0,71,0.00,0.00,0.00,0.00,0.00,1.54,0.00,1352.34,2775.18,9.92,0.23
2024-01-01 00:45:00,compute-02,all,6.40,0.11,1.83,1.71,0.31,0.04,0.31,3.09,0.00,86.19,12.82,1186.03,0.29,0.27,86.46,0.00,924.95,0.84,1335.32,0.00,0.00,0.00,31.19,64.42,42.63,24.81,1052.94,2362.62,7.61,-0.15,0.89,108940606,22131394,16.88,0,6395641,33718412,25.73,13118894,6218199,539297,64652324,883676,1.35,0,0.00,0,0,0.00,45563,5622,51304,11,5,773,0.48,2.12,2.51,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1960.12,4018.17,28.45,0.12,0.00,0.65,11.62,1306.41,4822.15,70.20,265.98,0.00,0.00,7.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115336247,7871336,3932160,131072,262144,23015070,512,420,13,0,0,22,0.00,0.00,0.00,0.00,0.00,0.73,0.00,980.06,2009.08,14.23,0.12
2024-01-01 00:50:00,compute-02,all,8.02,0.11,2.38,2.56,0.35,0.05,0.44,3.36,0.00,82.73,14.88,1804.56,0.20,0.17,51.35,0.00,854.79,1.32,1854.77,0.00,0.00,0.00,26.77,59.26,16.54,22.26,1306.52,3456.95,0.83,0.47,3.95,111012613,20059387,15.30,283040,8186316,30217235,23.05,15505688,7983663,288117,64992538,543462,0.83,0,0.00,0,0,0.00,54197,4998,61921,22,3,616,0.70,2.86,1.26,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1642.52,2148.45,29.80,0.00,0.16,0.54,12.25,1271.21,4029.67,0.00,380.07,0.00,0.00,7.37,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119198929,9303413,3932160,131072,262144,20602849,428,320,23,0,0,64,0.00,0.00,0.00,0.00,0.00,3.74,0.00,821.26,1074.22,14.90,0.00
