DateTime,hostname,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,kbhugfree,kbhugused,%hugused,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,TTY,rcvin/s,xmtin/s,framerr/s,prtyerr/s,brk/s,ovrun/s,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,rxerr/s,txerr/s,coll/s,rxdrop/s,txdrop/s,txcarr/s,rxfram/s,rxfifo/s,txfifo/s,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,kbavail,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,%ifutil,txmtin/s,rkB/s,wkB/s,areq-sz,aqu-sz
2024-01-01 00:00:00,ctrl-01,all,7.53,0.00,1.46,1.47,0.06,0.00,0.68,0.00,0.00,88.80,13.22,1077.30,0.49,0.00,170.85,63.38,130.32,0.86,0.00,0.00,7.77,49.98,93.45,38.94,9.57,14.45,354.46,992.46,-5.81,-2.96,-2.12,56930823,8605177,13.13,313552,2843882,45875200,70.00,22937600,9830400,68433,32440320,327680,1.00,0,0.00,0,0,0.00,42863,5652,58062,21,0,749,0.66,1.45,1.07,1,0,0.00,0.00,0.00,0.00,0.00,0.00,354.46,992.46,64.00,0.39,1.35,0.10,5.79,690.68,832.06,57.18,91.84,0.00,0.00,0.73,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59774705,13762560,1966080,65536,131072,8932857,446,407,17,0,0,30,0.00,0.00,0.00,0.00,0.00,0.79,0.00,177.23,496.23,32.00,0.39
2024-01-01 00:05:00,ctrl-01,all,7.17,0.00,1.39,1.51,0.10,0.00,0.89,0.00,0.00,88.94,21.77,1147.09,0.00,0.43,139.73,185.67,126.87,0.00,0.00,15.19,0.00,57.71,93.91,25.09,8.55,14.12,818.00,391.69,2.08,3.05,-2.63,58404516,7131484,10.88,311630,3208685,45875200,70.00,22937600,9830400,36276,32440320,327680,1.00,0,0.00,0,0,0.00,47018,4761,63699,18,4,696,0.73,1.12,0.68,0,0,0.00,0.00,0.00,0.00,0.00,0.00,818.00,391.69,64.00,0.55,1.65,0.05,3.51,248.96,660.63,34.22,57.64,0.00,0.00,5.30,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61613201,13762560,1966080,65536,131072,7459164,364,441,22,0,0,36,0.00,0.00,0.00,0.00,0.00,0.41,0.00,409.00,195.84,32.00,0.55
2024-01-01 00:10:00,ctrl-01,all,5.97,0.00,1.99,0.27,0.08,0.00,0.99,0.00,0.00,90.71,19.79,583.60,0.00,0.00,196.94,209.25,168.22,0.00,0.00,0.00,4.73,18.56,93.24,24.98,5.07,12.51,559.01,0.00,-5.67,-2.56,2.71,57847135,7688865,11.73,212694,3166255,45875200,70.00,22937600,9830400,19046,32440320,327680,1.00,0,0.00,0,0,0.00,55869,5866,59820,22,0,621,0.66,1.20,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,559.01,0.00,64.00,0.13,2.93,0.19,7.57,524.97,695.89,24.92,11.30,0.00,0.00,9.17,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61013390,13762560,1966080,65536,131072,8016545,475,393,17,0,0,35,0.00,0.00,0.00,0.00,0.00,1.81,0.00,279.51,0.00,32.00,0.13
2024-01-01 00:15:00,ctrl-01,all,3.28,0.00,1.44,1.80,0.03,0.00,0.83,0.00,0.00,92.62,18.81,316.80,0.07,0.00,144.75,343.34,274.21,1.46,0.00,108.65,9.55,23.52,87.00,15.21,9.47,9.61,1045.59,0.00,0.49,2.17,0.40,56854030,8681970,13.25,397276,2760319,45875200,70.00,22937600,9830400,0,32440320,327680,1.00,0,0.00,0,0,0.00,53399,5011,54870,21,0,665,1.32,0.73,0.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1045.59,0.00,64.00,0.33,1.03,0.17,8.91,586.42,1166.72,58.99,18.93,0.00,0.00,5.31,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59614349,13762560,1966080,65536,131072,9009650,495,353,22,0,0,48,0.00,0.00,0.00,0.00,0.00,0.79,0.00,522.79,0.00,32.00,0.33
2024-01-01 00:20:00,ctrl-01,all,5.30,0.00,1.42,2.64,0.02,0.00,0.80,0.00,0.00,89.83,22.12,403.91,0.09,0.00,178.37,383.93,238.49,0.00,0.00,0.00,10.15,9.74,88.81,24.77,8.54,22.12,899.36,265.32,-0.78,-1.58,-1.27,56895036,8640964,13.19,448001,2144681,45875200,70.00,22937600,9830400,24485,32440320,327680,1.00,0,0.00,0,0,0.00,48113,5043,60711,21,2,636,1.34,0.88,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,899.36,265.32,64.00,0.56,1.35,0.14,9.33,813.23,472.00,61.79,60.99,0.00,0.00,3.52,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59039717,13762560,1966080,65536,131072,8968644,467,420,28,0,0,58,0.00,0.00,0.00,0.00,0.00,1.28,0.00,449.68,132.66,32.00,0.56
2024-01-01 00:25:00,ctrl-01,all,6.93,0.01,3.37,2.35,0.02,0.00,0.72,0.00,0.00,86.61,19.40,635.16,0.00,0.00,194.65,231.19,170.56,0.93,0.00,70.07,1.21,0.00,91.59,28.41,8.80,33.80,748.03,0.00,-3.28,2.36,1.38,55706342,9829658,15.00,589725,2344375,45875200,70.00,22937600,9830400,57914,32440320,327680,1.00,0,0.00,0,0,0.00,54732,4866,64838,13,6,741,0.94,0.32,0.00,2,0,0.00,0.00,0.00,0.00,0.00,0.00,748.03,0.00,64.00,0.24,1.22,0.11,6.18,812.72,668.88,28.78,72.22,0.00,0.00,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58050717,13762560,1966080,65536,131072,10157338,454,392,19,0,0,62,0.00,0.00,0.00,0.00,0.00,0.95,0.00,374.01,0.00,32.00,0.24
2024-01-01 00:30:00,ctrl-01,all,5.77,0.00,1.81,2.37,0.00,0.00,0.67,0.00,0.00,89.38,20.36,833.91,0.24,0.69,129.47,392.20,293.52,0.16,0.00,0.00,0.00,19.95,90.11,49.98,28.31,15.08,588.12,517.24,0.42,1.62,-1.17,53837136,11698864,17.85,342007,2783680,45875200,70.00,22937600,9830400,70844,32440320,327680,1.00,0,0.00,0,0,0.00,56028,5117,61645,26,2,718,0.61,0.60,0.25,0,0,0.00,0.00,0.00,0.00,0.00,0.00,588.12,517.24,64.00,0.01,1.39,0.13,5.00,477.17,667.92,45.07,67.31,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56620816,13762560,1966080,65536,131072,12026544,422,437,16,0,0,88,0.00,0.00,0.00,0.00,0.00,1.23,0.00,294.06,258.62,32.00,0.01
2024-01-01 00:35:00,ctrl-01,all,5.13,0.00,1.72,2.82,0.04,0.00,0.58,0.00,0.00,89.70,19.40,1206.51,0.00,0.54,86.33,270.02,286.64,0.51,0.00,20.39,0.00,134.29,89.34,47.80,21.83,18.96,322.88,1079.48,1.69,-0.05,-7.84,55586423,9949577,15.18,320984,3066158,45875200,70.00,22937600,9830400,83564,32440320,327680,1.00,0,0.00,0,0,0.00,44567,4745,58670,20,3,629,0.95,0.23,0.60,1,0,0.00,0.00,0.00,0.00,0.00,0.00,322.88,1079.48,64.00,0.17,1.99,0.13,6.97,752.57,576.66,62.87,91.29,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58652581,13762560,1966080,65536,131072,10277257,488,343,22,0,0,56,0.00,0.00,0.00,0.00,0.00,1.93,0.00,161.44,539.74,32.00,0.17
2024-01-01 00:40:00,ctrl-01,all,5.16,0.00,2.54,1.99,0.11,0.00,0.64,0.00,0.00,89.56,14.09,978.66,0.00,0.75,36.37,336.44,271.82,0.00,0.00,0.62,3.84,49.49,95.27,36.76,22.94,17.21,481.03,1406.81,-8.99,2.47,-1.55,54710331,10825669,16.52,578885,3365616,45875200,70.00,22937600,9830400,117477,32440320,327680,1.00,0,0.00,0,0,0.00,48725,4527,58784,18,0,707,0.88,1.19,0.16,1,0,0.00,0.00,0.00,0.00,0.00,0.00,481.03,1406.81,64.00,0.67,3.80,0.24,6.56,530.74,363.38,62.17,25.77,0.00,0.00,5.23,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58075947,13762560,1966080,65536,131072,11153349,486,467,21,0,0,55,0.00,0.00,0.00,0.00,0.00,1.42,0.00,240.51,703.40,32.00,0.67
2024-01-01 00:45:00,ctrl-01,all,6.36,0.00,2.35,2.39,0.12,0.00,0.69,0.00,0.00,88.09,11.66,1036.11,0.00,0.35,49.67,386.62,340.76,0.00,0.00,104.64,3.88,0.00,99.96,25.79,21.85,2.79,304.81,2194.05,-7.72,1.76,-0.91,54932062,10603938,16.18,593106,2960207,45875200,70.00,22937600,9830400,110062,32440320,327680,1.00,0,0.00,0,0,0.00,50619,5008,61559,18,3,693,0.48,1.41,1.20,0,0,0.00,0.00,0.00,0.00,0.00,0.00,304.81,2194.05,64.00,0.25,2.25,0.11,4.83,1121.50,996.81,58.91,13.88,0.00,0.00,3.31,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57892269,13762560,1966080,65536,131072,10931618,619,427,13,0,0,33,0.00,0.00,0.00,0.00,0.00,0.81,0.00,152.41,1097.03,32.00,0.25
