DateTime,hostname,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,frmpg/s,bufpg/s,campg/s,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,kbhugfree,kbhugused,%hugused,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,TTY,rcvin/s,xmtin/s,framerr/s,prtyerr/s,brk/s,ovrun/s,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,rxerr/s,txerr/s,coll/s,rxdrop/s,txdrop/s,txcarr/s,rxfram/s,rxfifo/s,txfifo/s,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,kbavail,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,%ifutil,txmtin/s,rkB/s,wkB/s,areq-sz,aqu-sz
2024-01-01 00:00:00,net-02,all,3.04,0.00,2.22,0.08,0.04,0.07,2.72,0.00,0.00,91.81,4.68,622.61,0.00,0.00,0.00,0.00,37.86,1.14,0.00,0.00,0.00,0.00,90.39,1.23,0.00,0.00,0.00,0.00,-6.52,2.00,1.41,28871295,3896705,11.89,151896,1097433,22937600,70.00,11468800,4915200,11521,16220160,163840,1.00,0,0.00,0,0,0.00,46450,4623,55586,21,4,668,0.78,0.52,0.71,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.49,1.03,0.15,1.34,42739.79,29212.14,55184.75,26366.68,0.00,0.00,2.29,0.00,0.00,0.00,12.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29968728,6881280,983040,32768,65536,4060545,463,443,15,0,0,30,45290.89,0.00,0.01,0.00,0.00,25.07,0.00,0.00,0.00,32.00,0.49
2024-01-01 00:05:00,net-02,all,3.58,0.00,3.36,0.34,0.00,0.04,3.33,0.00,0.00,89.36,4.89,336.41,0.00,0.76,0.00,0.00,0.00,1.07,0.00,0.00,0.00,13.90,82.16,0.00,0.00,0.00,0.00,0.00,5.89,-2.72,-1.33,29071893,3696107,11.28,120566,827951,22937600,70.00,11468800,4915200,14098,16220160,163840,1.00,0,0.00,0,0,0.00,58698,5367,62510,19,7,719,0.47,0.44,0.65,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.28,1.51,0.01,0.00,52618.19,55670.15,46456.97,31703.44,0.00,0.00,1.47,0.00,0.00,0.01,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29899844,6881280,983040,32768,65536,3859947,433,467,11,0,0,77,44459.31,0.00,0.17,0.00,0.00,15.00,0.00,0.00,0.00,32.00,0.28
2024-01-01 00:10:00,net-02,all,2.04,0.00,3.78,0.31,0.00,0.07,3.02,0.00,0.00,90.77,11.79,808.22,0.40,0.00,0.00,0.00,0.00,0.00,0.00,19.16,0.00,36.51,89.76,0.00,0.00,0.00,0.00,0.00,4.89,5.15,-0.63,28751435,4016565,12.26,177951,1042655,22937600,70.00,11468800,4915200,8543,16220160,163840,1.00,0,0.00,0,0,0.00,47193,4315,53227,26,1,759,0.66,0.49,0.76,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.30,1.21,0.16,3.61,27491.12,48623.99,44016.20,20472.66,0.00,0.00,2.37,0.00,0.00,0.00,6.22,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29794090,6881280,983040,32768,65536,4180405,524,371,13,0,0,40,34706.57,0.00,0.00,0.00,0.00,12.44,0.00,0.00,0.00,32.00,0.30
2024-01-01 00:15:00,net-02,all,0.95,0.00,2.57,0.19,0.02,0.04,3.24,0.00,0.00,92.98,13.69,435.87,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,7.51,46.38,90.78,0.00,0.00,0.00,0.00,0.00,-4.63,-1.31,-1.25,30021023,2746977,8.38,146147,989818,22937600,70.00,11468800,4915200,0,16220160,163840,1.00,0,0.00,0,0,0.00,53433,4463,63375,30,0,651,1.57,0.61,0.88,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.49,1.23,0.15,2.30,37297.42,29373.36,44434.48,0.00,0.00,0.00,4.50,0.00,0.01,0.01,7.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31010841,6881280,983040,32768,65536,2910817,537,325,14,0,0,77,33012.80,0.34,0.00,0.00,0.00,14.25,0.00,0.00,0.00,32.00,0.49
2024-01-01 00:20:00,net-02,all,0.49,0.00,5.17,0.23,0.00,0.03,3.52,0.00,0.00,90.56,11.32,180.19,0.13,0.00,0.00,0.00,33.82,0.83,0.00,0.00,0.00,43.18,88.41,0.00,0.00,0.00,0.00,0.00,0.13,-2.15,4.16,29352454,3415546,10.42,73234,798414,22937600,70.00,11468800,4915200,13206,16220160,163840,1.00,0,0.00,0,0,0.00,48125,5176,57725,17,6,773,1.67,0.32,0.43,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.76,1.20,0.07,2.76,29253.72,28297.40,53034.91,17103.95,0.00,0.00,4.71,0.00,0.01,0.02,8.39,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30150868,6881280,983040,32768,65536,3579386,493,459,17,0,0,75,37623.72,0.00,0.00,0.00,0.00,16.78,0.00,0.00,0.00,32.00,0.76
2024-01-01 00:25:00,net-02,all,0.38,0.00,4.76,0.14,0.00,0.05,2.78,0.00,0.00,91.90,17.45,472.11,0.45,1.02,0.00,0.00,30.16,1.43,0.00,46.24,0.00,0.00,92.84,2.87,0.00,0.00,0.00,0.00,-0.65,1.06,-1.25,27950424,4817576,14.70,125949,895735,22937600,70.00,11468800,4915200,3163,16220160,163840,1.00,0,0.00,0,0,0.00,47318,5197,63879,6,5,668,2.33,0.00,0.30,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.75,0.68,0.00,1.56,19946.49,13333.90,51203.31,2621.40,0.00,0.00,3.92,0.00,0.00,0.00,11.84,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28846159,6881280,983040,32768,65536,4981416,451,376,24,0,0,30,68928.29,0.00,0.00,0.00,0.00,23.68,0.00,0.00,0.00,32.00,0.75
2024-01-01 00:30:00,net-02,all,0.19,0.00,3.58,0.14,0.00,0.05,1.62,0.00,0.00,94.41,18.53,379.17,0.63,0.39,0.00,0.00,107.48,0.13,0.00,70.44,0.00,0.00,84.52,13.68,0.00,0.00,0.00,0.00,1.05,0.52,0.87,29138913,3629087,11.08,143787,648691,22937600,70.00,11468800,4915200,1961,16220160,163840,1.00,0,0.00,0,0,0.00,49843,5258,57824,26,0,776,1.27,0.00,0.52,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.28,0.84,0.06,1.12,4116.83,19422.65,49620.19,0.00,0.00,0.00,4.92,0.00,0.00,0.01,11.25,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29787604,6881280,983040,32768,65536,3792927,438,433,15,0,0,50,85048.94,0.00,0.32,0.00,0.00,22.48,0.00,0.00,0.00,32.00,0.28
2024-01-01 00:35:00,net-02,all,1.17,0.00,3.71,0.30,0.00,0.09,2.74,0.00,0.00,91.99,10.30,421.48,1.09,0.28,0.00,0.00,90.70,0.49,0.00,0.00,0.00,29.32,86.44,8.95,0.00,0.00,0.00,0.00,-2.47,0.02,4.45,28655879,4112121,12.55,131561,588818,22937600,70.00,11468800,4915200,7383,16220160,163840,1.00,0,0.00,0,0,0.00,57262,4923,60932,23,2,643,0.61,0.36,1.03,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.50,0.26,0.20,0.45,8068.11,25952.71,43767.57,0.00,0.00,0.00,4.56,0.00,0.00,0.00,11.86,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29244697,6881280,983040,32768,65536,4275961,583,426,17,0,0,52,55420.75,0.00,0.37,0.00,0.00,23.72,0.00,0.00,0.00,32.00,0.50
2024-01-01 00:40:00,net-02,all,2.70,0.00,2.97,0.30,0.00,0.05,1.91,0.00,0.00,92.07,11.74,601.35,0.00,0.06,0.00,0.00,48.64,0.26,0.00,0.00,5.93,0.00,97.64,7.43,0.00,0.00,0.00,0.00,8.42,-3.77,-1.51,28377074,4390926,13.40,135676,522032,22937600,70.00,11468800,4915200,7482,16220160,163840,1.00,0,0.00,0,0,0.00,48248,4270,63709,14,4,738,0.60,0.70,0.39,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.58,0.00,0.14,2.29,0.00,22989.55,31060.03,1189.11,0.00,0.00,1.83,0.00,0.00,0.00,9.35,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28899106,6881280,983040,32768,65536,4554766,584,430,21,0,0,57,43874.16,0.25,0.00,0.00,0.00,18.69,0.00,0.00,0.00,32.00,0.58
2024-01-01 00:45:00,net-02,all,3.23,0.00,2.34,0.12,0.02,0.07,2.34,0.00,0.00,91.87,8.16,824.12,0.59,0.22,0.00,0.00,68.58,2.36,0.00,4.25,0.00,0.00,90.94,6.83,0.00,0.00,0.00,0.00,2.58,-3.70,-0.94,28824900,3943100,12.03,106982,349498,22937600,70.00,11468800,4915200,6474,16220160,163840,1.00,0,0.00,0,0,0.00,51223,4974,58636,9,4,754,0.72,0.41,0.49,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,1.00,0.20,0.06,1.05,0.00,20363.00,20050.30,10334.03,0.00,0.00,3.27,0.01,0.00,0.01,10.73,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29174398,6881280,983040,32768,65536,4106940,444,420,15,0,0,88,58556.51,0.00,0.00,0.00,0.00,21.45,0.00,0.00,0.00,32.00,1.00
